b1_base_fr,b2_isi_cv,b3_serial_corr,r1_fr_modulation,c1_coh_zero,c2_coh_max,c3_coh_highf,c4_fcoh_max,c5_fcutoff,g1_gain_0,g2_gain_halfup,g3_gain_max,g4_gain_rate,g5_gain_highf,g6_fhalfup,g7_fgain_max,g8_fcuoff
112,0.121090882087429,-0.319314323964471,61.6003020950201,0.412724289398315,0.772619880057489,0.0552930726609328,15.869140625,43.9453125,239.941690734617,435.450114103321,546.290877795057,69.86354554912,21.6544224354514,8.544921875,18.310546875,39.0625
151.7,0.132956610402559,-0.374340152731444,85.4594157743948,0.805047453250865,0.950453166536861,0.0589667381740965,15.869140625,53.7109375,171.184684996094,641.864647759192,864.680293183253,11.5241143338365,17.8869983601468,13.427734375,26.85546875,43.9453125
134.2,0.0725142811189921,-0.218933292560539,96.3643705173262,0.755671081514914,0.926980660098199,0.0874246268222486,12.20703125,62.255859375,354.312677372673,746.095112736671,917.305639434573,20.2040858912919,23.0130622873459,8.544921875,18.310546875,39.0625
123.9,0.0451120217185535,-0.19673439053023,20.4243237616896,0.783526533520965,0.901444208339218,0.0508081491872629,10.986328125,47.607421875,69.213574963754,137.749666805559,159.722110180473,70.3174482831277,37.746775100572,10.986328125,21.97265625,50.048828125
119.2,0.0610095830834296,-0.060435582508815,75.4502503026208,0.85999477693658,0.939107908015046,0.0686291056492851,12.20703125,64.697265625,324.49410364435,567.20041325584,665.482052038576,51.4033092456145,23.4460610852769,8.544921875,18.310546875,43.9453125
141.566666666667,0.048049932068341,-0.0548898604844096,27.6021581448741,0.692909847802779,0.893509786917833,0.069376962608332,10.986328125,58.59375,96.7240312692543,187.733495797278,220.352434241143,36.8102238691423,39.4220442351351,8.544921875,17.08984375,51.26953125
163.666666666667,0.0700215588799309,-0.100424791218138,17.6025624654352,0.854503048070948,0.889227335994065,0.0537753493198326,7.32421875,40.283203125,142.522406157335,176.222076126901,196.151419603481,18.5255901370316,16.5066081016334,4.8828125,9.765625,25.634765625
111.866666666667,0.112469018484778,-0.117124515299485,61.9345976938559,0.437179466946201,0.653441063659904,0.0477288797521529,12.20703125,40.283203125,413.071707003875,523.851224448549,556.165887556042,50.8525597987654,18.6361598812623,6.103515625,12.20703125,31.73828125
91.8,0.10154418922712,0.0735059730906984,30.7633266612279,0.673539190906259,0.784206888741732,0.0489136755284495,10.986328125,32.958984375,314.533874184137,337.423122971163,346.793074112976,61.1968843481516,23.8627364972346,3.662109375,7.32421875,21.97265625
92.7333333333333,0.104975644449445,0.11628157081686,20.2242722659814,0.48813233399155,0.663737543017464,0.0426541897056861,10.986328125,32.958984375,221.080160013992,221.080160013992,221.676663588192,64.581828241883,17.2139831759302,0,1.220703125,18.310546875
55.9,0.23639431505961,-0.664569064445201,38.413079768228,0.667610964407121,0.834783740736664,0.0425619035973717,10.986328125,20.751953125,92.1695547512329,257.291979921459,420.401297242126,113.706504125584,14.9142482212254,10.986328125,21.97265625,31.73828125
77.0666666666667,0.276119808347521,0.317853511800048,41.9586672222742,0.364317984510329,0.649269488950631,0.0479895099360645,12.20703125,28.076171875,339.669314266408,426.593416607532,477.900350929273,82.2961913800559,16.5473012496513,4.8828125,9.765625,25.634765625
81.16,0.0837250463300485,-0.0926955201467278,41.1517317977769,0.765571580224013,0.897395351110039,0.0494871805685986,10.986328125,39.0625,155.811184155567,280.757085679263,324.078226158232,100.04276594639,19.9560043789726,8.544921875,17.08984375,50.048828125
116,0.12373279641133,0.118222503123753,16.4460922081558,0.384826557437683,0.547037572057089,0.0469255916437319,12.20703125,35.400390625,77.321443775026,118.752305127327,130.70463264492,73.4444566267542,29.8593921846032,7.32421875,14.6484375,29.296875
